E	orchid	bromeliad	bonsai tree	fern	sequoia
D	bromeliad	bonsai tree	fern	sequoia	orchid
D	bromeliad	bonsai tree	fern	sequoia	orchid
B	fern	sequoia	bonsai tree	bromeliad	orchid
C	bromeliad	bonsai tree	sequoia	orchid	fern
E	woof	bow-wow	ruff	bark	meow
C	woof	bow-wow	meow	ruff	bark
E	bark	bow-wow	ruff	woof	meow
B	woof	meow	bow-wow	bark	ruff
A	meow	bark	woof	ruff	bow-wow
D	flour	salt	oil	mud	yeast
B	yeast	mud	flour	salt	oil
C	flour	oil	mud	yeast	salt
B	oil	mud	salt	yeast	flour
D	salt	flour	oil	mud	yeast
E	toad	salamander	newt	frog	chicken
D	salamander	newt	frog	chicken	toad
B	toad	chicken	salamander	newt	frog
D	newt	salamander	toad	chicken	frog
C	newt	frog	chicken	toad	salamander
A	gunshot	burp	hiccup	laugh	gurgle
B	laugh	gunshot	burp	hiccup	gurgle
A	gunshot	hiccup	burp	gurgle	laugh
E	laugh	gurgle	hiccup	burp	gunshot
A	gunshot	laugh	burp	gurgle	hiccup
D	spaceship	train	car	motel	boat
B	car	motel	boat	spaceship	train
D	spaceship	boat	train	motel	car
D	spaceship	car	boat	motel	train
C	train	car	motel	boat	spaceship
D	orca	humpback	beluga	grizzly	blue
C	blue	beluga	grizzly	orca	humpback
D	orca	beluga	humpback	grizzly	blue
B	humpback	grizzly	blue	beluga	orca
E	blue	humpback	orca	beluga	grizzly
D	ladle	spatula	knife	rake	whisk
C	ladle	knife	rake	whisk	spatula
D	knife	ladle	spatula	rake	whisk
E	ladle	spatula	knife	whisk	rake
B	ladle	rake	knife	spatula	whisk
A	free kick	headlock	full nelson	pin	sleeper hold
D	full nelson	pin	headlock	free kick	sleeper hold
C	headlock	pin	free kick	sleeper hold	full nelson
D	sleeper hold	headlock	pin	free kick	full nelson
A	free kick	headlock	pin	sleeper hold	full nelson
B	corporal	judo	private	colonel	general
A	judo	colonel	general	private	corporal
A	judo	general	corporal	colonel	private
B	private	judo	colonel	general	corporal
A	judo	private	colonel	general	corporal
E	comet	meteor	planet	asteroid	turtle
A	turtle	meteor	asteroid	planet	comet
A	turtle	planet	meteor	asteroid	comet
D	meteor	asteroid	planet	turtle	comet
B	comet	turtle	planet	asteroid	meteor
B	enamel	fairy	root	crown	dentin
C	root	crown	fairy	dentin	enamel
E	enamel	crown	dentin	root	fairy
B	root	fairy	dentin	crown	enamel
C	dentin	crown	fairy	root	enamel
E	bechamel	tomato	soy	hollandaise	shortening
A	shortening	tomato	bechamel	hollandaise	soy
C	tomato	bechamel	shortening	hollandaise	soy
E	hollandaise	tomato	bechamel	soy	shortening
C	bechamel	soy	shortening	tomato	hollandaise
C	tuna	cod	cow	mackerel	salmon
E	tuna	cod	mackerel	salmon	cow
A	cow	salmon	tuna	mackerel	cod
B	mackerel	cow	salmon	tuna	cod
D	salmon	mackerel	cod	cow	tuna
B	elk	camel	reindeer	moose	caribou
C	moose	reindeer	camel	elk	caribou
C	moose	reindeer	camel	elk	caribou
D	reindeer	moose	elk	camel	caribou
C	caribou	moose	camel	elk	reindeer
B	rubber boots	necktie	umbrella	poncho	raincoat
D	poncho	rubber boots	raincoat	necktie	umbrella
E	umbrella	raincoat	rubber boots	poncho	necktie
A	necktie	rubber boots	umbrella	raincoat	poncho
A	necktie	raincoat	rubber boots	umbrella	poncho
A	wasabi	rhubarb	pumpkin	apple	pecan
B	pumpkin	wasabi	rhubarb	pecan	apple
C	apple	rhubarb	wasabi	pecan	pumpkin
D	pumpkin	apple	rhubarb	wasabi	pecan
D	apple	pecan	rhubarb	wasabi	pumpkin
D	crackers	crudites	deviled eggs	cereal	bruschetta
C	crudites	bruschetta	cereal	deviled eggs	crackers
C	crudites	crackers	cereal	deviled eggs	bruschetta
E	crudites	bruschetta	crackers	deviled eggs	cereal
D	crackers	bruschetta	crudites	cereal	deviled eggs
D	root	leaf	stem	lung	flower
B	flower	lung	root	leaf	stem
B	root	lung	flower	leaf	stem
B	stem	lung	root	leaf	flower
B	flower	lung	stem	leaf	root
E	heart	stomach	lung	liver	diamond
B	stomach	diamond	lung	heart	liver
A	diamond	lung	stomach	heart	liver
A	diamond	liver	heart	lung	stomach
D	heart	stomach	liver	diamond	lung
D	arachnophobia	agoraphobia	acrophobia	euphoria	claustrophobia
E	claustrophobia	arachnophobia	acrophobia	agoraphobia	euphoria
C	acrophobia	arachnophobia	euphoria	agoraphobia	claustrophobia
C	acrophobia	claustrophobia	euphoria	arachnophobia	agoraphobia
A	euphoria	agoraphobia	arachnophobia	claustrophobia	acrophobia
E	wing	beak	feather	talon	hand
E	feather	beak	talon	wing	hand
C	wing	feather	hand	talon	beak
E	feather	talon	beak	wing	hand
C	wing	beak	hand	talon	feather
A	Wednesday	June	March	November	January
E	March	June	January	November	Wednesday
A	Wednesday	November	January	March	June
E	January	November	June	March	Wednesday
C	January	March	Wednesday	June	November
E	granite	marble	quartz	limestone	oxygen
B	quartz	oxygen	limestone	granite	marble
A	oxygen	limestone	marble	granite	quartz
E	marble	granite	quartz	limestone	oxygen
D	granite	limestone	quartz	oxygen	marble
E	chihuahua	shih tzu	poodle	pekingese	labrador
C	chihuahua	shih tzu	labrador	pekingese	poodle
B	chihuahua	labrador	poodle	shih tzu	pekingese
D	chihuahua	shih tzu	pekingese	labrador	poodle
A	labrador	pekingese	shih tzu	poodle	chihuahua
B	toro	tango	hamachi	uni	unagi
C	toro	uni	tango	hamachi	unagi
E	hamachi	toro	unagi	uni	tango
B	toro	tango	uni	unagi	hamachi
A	tango	hamachi	unagi	uni	toro
